Colony,Yard,TreatmentCode,GlycerinTowel,OxalicDose,MPB1,MPB2
131,Mudhole,HOA,T,18,0.33,0
132,Mudhole,HOA,T,18,1,1.33
134,Mudhole,HOA,T,18,7.76,0
137,Mudhole,MOA,T,12,2.33,0.67
138,Mudhole,MOA,T,12,2.33,1
139,Mudhole,MOA,T,12,6.01,12.95
140,Mudhole,MOA,T,12,8.09,10.18
141,Mudhole,MOA,T,12,0.67,0.33
142,Mudhole,MOA,T,12,3.48,3.36
143,Mudhole,MOA,T,12,1.43,0
144,Mudhole,MOA,T,12,0.87,0
145,Mudhole,MOA,T,12,5.72,6.53
146,Mudhole,MOA,T,12,1,1.67
147,Mudhole,MOA,T,12,0,0.67
148,Mudhole,MOA,T,12,1.94,0.52
150,Pickers,HOA,T,18,1.01,2.16
151,Pickers,HOA,T,18,0,0
152,Pickers,HOA,T,18,3.07,4.58
153,Pickers,HOA,T,18,0.75,0.18
154,Pickers,HOA,T,18,0,0.33
155,Pickers,HOA,T,18,1.67,0.33
156,Pickers,HOA,T,18,0.33,0.53
157,Pickers,HOA,T,18,3.52,1.11
158,Pickers,0OA,T,0,0,0.54
159,Pickers,0OA,T,0,3.25,5.04
160,Pickers,0OA,T,0,1.18,1.61
161,Pickers,0OA,T,0,2.12,1.22
162,Pickers,0OA,T,0,1.15,1.15
163,Pickers,0OA,T,0,1.37,3.48
164,Pickers,0OA,T,0,6.85,11.3
165,Pickers,0OA,T,0,0,0.21
166,Pickers,MOA,T,12,1.33,1.33
168,Pickers,MOA,T,12,0.67,0
170,Pickers,MOA,T,12,1.15,0.4
171,Pickers,MOA,T,12,0.67,0
172,Pickers,MOA,T,12,1.14,0.61
178,Sandtrap,HOA,T,18,1.02,1.28
179,Sandtrap,HOA,T,18,0.89,1.49
180,Sandtrap,HOA,T,18,0.24,0.31
181,Sandtrap,HOA,T,18,1.56,1.44
182,Sandtrap,MOA,T,12,0.5,1.5
183,Sandtrap,MOA,T,12,1.04,2.87
184,Sandtrap,MOA,T,12,0.33,0.33
185,Sandtrap,MOA,T,12,3,3
187,Sandtrap,HOA,T,18,0.53,0.53
190,Sandtrap,MOA,T,12,0,0
191,Sandtrap,MOA,T,12,0.24,1.29
192,Sandtrap,MOA,T,12,0,0
193,Sandtrap,CTRL,F,0,1.67,1.33
197,Sandtrap,0OA,T,0,0.94,1.21
199,Sandtrap,0OA,T,0,0.5,0.52
